dateobs jd mag dmag telescope filter magtype
2021-03-17 2459291.36521 17.2132 0.0209 1m0-13 B 1
2021-03-17 2459291.36783 17.1381 0.0246 1m0-13 B 1
2021-03-17 2459291.37063 16.2843 0.0317 1m0-13 V 1
2021-03-17 2459291.37233 16.2402 0.0303 1m0-13 V 1
2021-03-17 2459291.37420 16.5205 0.0284 1m0-13 g 1
2021-03-17 2459291.37682 16.5286 0.0306 1m0-13 g 1
2021-03-17 2459291.37962 16.0876 0.0383 1m0-13 r 1
2021-03-17 2459291.38132 16.0460 0.0396 1m0-13 r 1
2021-03-17 2459291.38320 15.9474 0.0463 1m0-13 i 1
2021-03-18 2459291.57340 16.8687 0.0318 1m0-10 B 1
2021-03-18 2459291.57602 17.0533 0.0332 1m0-10 B 1
2021-03-18 2459291.57882 16.4855 0.0240 1m0-10 V 1
2021-03-18 2459291.58052 16.4900 0.0246 1m0-10 V 1
2021-03-18 2459291.58238 16.7161 0.0232 1m0-10 g 1
2021-03-18 2459291.58501 16.7171 0.0232 1m0-10 g 1
2021-03-18 2459291.58780 16.3976 0.0266 1m0-10 r 1
2021-03-18 2459291.58949 16.4530 0.0269 1m0-10 r 1
2021-03-18 2459291.59135 16.6713 0.0291 1m0-10 i 1
2021-03-18 2459291.59305 16.5912 0.0287 1m0-10 i 1
2021-03-18 2459291.89474 17.0241 0.0183 1m0-04 B 1
2021-03-18 2459291.89642 17.0045 0.0199 1m0-04 B 1
2021-03-18 2459291.89828 16.5138 0.0179 1m0-04 V 1
2021-03-18 2459291.89962 16.5017 0.0160 1m0-04 V 1
2021-03-18 2459291.90114 16.6738 0.0143 1m0-04 g 1
2021-03-18 2459291.90283 16.6894 0.0156 1m0-04 g 1
2021-03-18 2459291.90470 16.4730 0.0190 1m0-04 r 1
2021-03-18 2459291.90605 16.4416 0.0153 1m0-04 r 1
2021-03-18 2459291.90757 16.7694 0.0240 1m0-04 i 1
2021-03-18 2459291.90892 16.7261 0.0215 1m0-04 i 1
2021-03-18 2459292.45369 16.4303 0.0191 1m0-10 B 1
2021-03-18 2459292.45538 16.4102 0.0207 1m0-10 B 1
2021-03-18 2459292.45725 16.1751 0.0246 1m0-10 V 1
2021-03-18 2459292.45861 16.1877 0.0236 1m0-10 V 1
2021-03-18 2459292.46013 16.2264 0.0212 1m0-10 g 1
2021-03-18 2459292.46182 16.2291 0.0261 1m0-10 g 1
2021-03-18 2459292.46368 16.1820 0.0276 1m0-10 r 1
2021-03-18 2459292.46503 16.1471 0.0263 1m0-10 r 1
2021-03-18 2459292.46655 16.4218 0.0287 1m0-10 i 1
2021-03-18 2459292.46789 16.4292 0.0239 1m0-10 i 1
2021-03-19 2459292.76475 16.1821 0.0182 1m0-08 B 1
2021-03-19 2459292.76645 16.1732 0.0178 1m0-08 B 1
2021-03-19 2459292.76831 15.7401 0.0200 1m0-08 V 1
2021-03-19 2459292.76967 15.7352 0.0198 1m0-08 V 1
2021-03-19 2459292.77118 15.8440 0.0179 1m0-08 g 1
2021-03-19 2459292.77289 15.8825 0.0177 1m0-08 g 1
2021-03-19 2459292.77475 15.6180 0.0223 1m0-08 r 1
2021-03-19 2459292.77611 15.6339 0.0276 1m0-08 r 1
2021-03-19 2459292.77763 15.6767 0.0336 1m0-08 i 1
2021-03-19 2459292.77898 15.6995 0.0328 1m0-08 i 1
2021-03-20 2459293.59268 15.6949 0.0139 1m0-05 B 1
2021-03-20 2459293.59441 15.7026 0.0147 1m0-05 B 1
2021-03-20 2459293.59629 15.5361 0.0142 1m0-05 V 1
2021-03-20 2459293.59765 15.5697 0.0140 1m0-05 V 1
2021-03-20 2459293.59917 15.4910 0.0118 1m0-05 g 1
2021-03-20 2459293.60086 15.5156 0.0118 1m0-05 g 1
2021-03-20 2459293.60273 15.5417 0.0148 1m0-05 r 1
2021-03-20 2459293.60408 15.5027 0.0160 1m0-05 r 1
2021-03-20 2459293.60560 15.3950 0.0282 1m0-05 i 1
2021-03-20 2459293.60696 15.7627 0.0181 1m0-05 i 1
2021-03-20 2459293.80060 15.6457 0.0183 1m0-08 V 1
2021-03-20 2459293.80196 15.7884 0.0224 1m0-08 V 1
2021-03-20 2459293.80349 15.6780 0.0194 1m0-08 g 1
2021-03-20 2459293.80519 15.6679 0.0195 1m0-08 g 1
2021-03-20 2459293.80705 16.3942 0.0605 1m0-08 r 1
2021-03-20 2459293.80840 16.5171 0.0693 1m0-08 r 1
2021-03-21 2459294.59576 15.3735 0.0146 1m0-04 B 1
2021-03-21 2459294.59745 15.3466 0.0154 1m0-04 B 1
2021-03-21 2459294.59932 15.1977 0.0132 1m0-04 V 1
2021-03-21 2459294.60067 15.1809 0.0123 1m0-04 V 1
2021-03-21 2459294.60220 15.1996 0.0113 1m0-04 g 1
2021-03-21 2459294.60389 15.1939 0.0108 1m0-04 g 1
2021-03-21 2459294.60575 15.1795 0.0119 1m0-04 r 1
2021-03-21 2459294.60710 15.2054 0.0114 1m0-04 r 1
2021-03-21 2459294.60862 15.4393 0.0195 1m0-04 i 1
2021-03-21 2459294.60997 15.4576 0.0190 1m0-04 i 1
2021-03-21 2459294.85662 15.1577 0.0151 1m0-05 B 1
2021-03-21 2459294.85831 15.1620 0.0148 1m0-05 B 1
2021-03-21 2459294.86018 15.1417 0.0148 1m0-05 V 1
2021-03-21 2459294.86153 15.1282 0.0147 1m0-05 V 1
2021-03-21 2459294.86306 15.0545 0.0121 1m0-05 g 1
2021-03-21 2459294.86483 15.0583 0.0119 1m0-05 g 1
2021-03-21 2459294.86670 15.1651 0.0172 1m0-05 r 1
2021-03-21 2459294.86805 15.1338 0.0146 1m0-05 r 1
2021-03-21 2459294.86957 15.3567 0.0158 1m0-05 i 1
2021-03-21 2459294.87093 15.3536 0.0160 1m0-05 i 1
2021-03-21 2459295.33709 15.0050 0.0143 1m0-12 B 1
2021-03-21 2459295.33878 15.0001 0.0136 1m0-12 B 1
2021-03-21 2459295.34063 14.8655 0.0266 1m0-12 V 1
2021-03-21 2459295.34199 14.9180 0.0179 1m0-12 V 1
2021-03-21 2459295.34352 14.8673 0.0154 1m0-12 g 1
2021-03-21 2459295.34521 14.8676 0.0153 1m0-12 g 1
2021-03-21 2459295.34708 14.9186 0.0221 1m0-12 r 1
2021-03-21 2459295.34844 14.9353 0.0193 1m0-12 r 1
2021-03-21 2459295.34995 15.1374 0.0233 1m0-12 i 1
2021-03-21 2459295.35130 15.1623 0.0254 1m0-12 i 1
2021-03-22 2459295.65516 14.9949 0.0146 1m0-04 B 1
2021-03-22 2459295.65685 14.9957 0.0137 1m0-04 B 1
2021-03-22 2459295.65871 14.8949 0.0164 1m0-04 V 1
2021-03-22 2459295.66005 14.9047 0.0157 1m0-04 V 1
2021-03-22 2459295.66158 14.8829 0.0138 1m0-04 g 1
2021-03-22 2459295.66326 14.8733 0.0135 1m0-04 g 1
2021-03-22 2459295.66514 14.9142 0.0196 1m0-04 r 1
2021-03-22 2459295.66648 14.9004 0.0188 1m0-04 r 1
2021-03-22 2459295.66800 15.1295 0.0248 1m0-04 i 1
2021-03-22 2459295.66934 15.1040 0.0238 1m0-04 i 1
2021-03-22 2459295.73039 14.9528 0.0398 0m4-09 V 1
2021-03-22 2459295.73123 14.8478 0.0163 1m0-05 B 1
2021-03-22 2459295.73198 14.9674 0.0356 0m4-09 V 1
2021-03-22 2459295.73229 14.8454 0.0154 1m0-05 B 1
2021-03-22 2459295.73348 14.8645 0.0169 1m0-05 V 1
2021-03-22 2459295.73365 14.9548 0.0329 0m4-09 g 1
2021-03-22 2459295.73424 14.8655 0.0181 1m0-05 V 1
2021-03-22 2459295.73517 14.7520 0.0132 1m0-05 g 1
2021-03-22 2459295.73613 14.9846 0.0305 0m4-09 g 1
2021-03-22 2459295.73618 14.7449 0.0139 1m0-05 g 1
2021-03-22 2459295.73735 14.8848 0.0190 1m0-05 r 1
2021-03-22 2459295.73811 14.8791 0.0173 1m0-05 r 1
2021-03-22 2459295.73871 14.8964 0.0392 0m4-09 r 1
2021-03-22 2459295.73905 15.1140 0.0208 1m0-05 i 1
2021-03-22 2459295.73981 15.0881 0.0204 1m0-05 i 1
2021-03-22 2459295.74025 14.9130 0.0365 0m4-09 r 1
2021-03-22 2459295.74191 15.0193 0.0282 0m4-09 i 1
2021-03-22 2459295.74345 15.0341 0.0288 0m4-09 i 1
2021-03-22 2459295.90625 14.7490 0.0280 0m4-06 B 1
2021-03-22 2459295.90872 14.7361 0.0285 0m4-06 B 1
2021-03-22 2459295.91131 14.6293 0.0260 0m4-06 V 1
2021-03-22 2459295.91285 14.6434 0.0253 0m4-06 V 1
2021-03-22 2459295.91450 14.6582 0.0279 0m4-06 g 1
2021-03-22 2459295.91697 14.6662 0.0289 0m4-06 g 1
2021-03-22 2459295.91961 14.6772 0.0264 0m4-06 r 1
2021-03-22 2459295.92115 14.7144 0.0251 0m4-06 r 1
2021-03-22 2459295.92281 14.8749 0.0293 0m4-06 i 1
2021-03-22 2459295.92435 14.8943 0.0282 0m4-06 i 1
2021-03-22 2459296.08109 14.8642 0.0257 0m4-06 B 1
2021-03-22 2459296.08367 14.7723 0.0223 0m4-06 V 1
2021-03-22 2459296.08522 14.7637 0.0226 0m4-06 V 1
2021-03-22 2459296.08686 14.7437 0.0199 0m4-06 g 1
2021-03-22 2459296.08933 14.7955 0.0194 0m4-06 g 1
2021-03-22 2459296.09191 14.7646 0.0216 0m4-06 r 1
2021-03-22 2459296.09346 14.7596 0.0239 0m4-06 r 1
2021-03-22 2459296.09511 14.8843 0.0301 0m4-06 i 1
2021-03-22 2459296.09665 14.9410 0.0263 0m4-06 i 1
2021-03-22 2459296.31315 15.0920 0.0443 0m4-07 B 1
2021-03-22 2459296.31556 14.9122 0.0355 0m4-07 B 1
2021-03-22 2459296.31810 14.8266 0.0363 0m4-07 V 1
2021-03-22 2459296.31959 14.8910 0.0306 0m4-07 V 1
2021-03-22 2459296.32119 14.8191 0.0257 0m4-07 g 1
2021-03-22 2459296.32360 14.7724 0.0216 0m4-07 g 1
2021-03-22 2459296.32614 14.8515 0.0277 0m4-07 r 1
2021-03-22 2459296.32763 14.8268 0.0294 0m4-07 r 1
2021-03-22 2459296.32923 15.0404 0.0316 0m4-07 i 1
2021-03-22 2459296.33072 15.0885 0.0319 0m4-07 i 1
2021-03-22 2459296.39404 14.7233 0.0187 1m0-13 B 1
