dateobs jd mag dmag telescope filter magtype
2021-03-17 2459291.35743 17.6328 0.0565 1m0-13 U 1
2021-03-17 2459291.36121 17.6279 0.0551 1m0-13 U 1
2021-03-17 2459291.37682 16.5034 0.0362 1m0-13 g 1
2021-03-18 2459291.56568 17.5258 0.0540 1m0-10 U 1
2021-03-18 2459291.57340 17.1001 0.0400 1m0-10 B 1
2021-03-18 2459291.57602 17.1172 0.0389 1m0-10 B 1
2021-03-18 2459291.58238 16.6967 0.0268 1m0-10 g 1
2021-03-18 2459291.58501 16.7130 0.0263 1m0-10 g 1
2021-03-18 2459291.58949 16.4005 0.0339 1m0-10 r 1
2021-03-18 2459291.88933 17.2496 0.0611 1m0-04 U 1
2021-03-18 2459291.89195 17.1407 0.0552 1m0-04 U 1
2021-03-18 2459291.89474 17.0504 0.0272 1m0-04 B 1
2021-03-18 2459291.89642 17.0463 0.0269 1m0-04 B 1
2021-03-18 2459291.89828 16.3990 0.0264 1m0-04 V 1
2021-03-18 2459291.89962 16.3753 0.0262 1m0-04 V 1
2021-03-18 2459291.90114 16.6526 0.0155 1m0-04 g 1
2021-03-18 2459291.90283 16.6782 0.0161 1m0-04 g 1
2021-03-18 2459291.90605 16.4449 0.0159 1m0-04 r 1
2021-03-18 2459291.90757 16.7580 0.0241 1m0-04 i 1
2021-03-18 2459291.90892 16.7131 0.0261 1m0-04 i 1
2021-03-18 2459292.44828 16.6854 0.0430 1m0-10 U 1
2021-03-18 2459292.45091 16.6661 0.0415 1m0-10 U 1
2021-03-18 2459292.45369 16.5460 0.0283 1m0-10 B 1
2021-03-18 2459292.45538 16.5361 0.0292 1m0-10 B 1
2021-03-18 2459292.45725 16.1019 0.0331 1m0-10 V 1
2021-03-18 2459292.45861 16.0937 0.0364 1m0-10 V 1
2021-03-18 2459292.46182 16.2661 0.0332 1m0-10 g 1
2021-03-18 2459292.46368 16.1578 0.0348 1m0-10 r 1
2021-03-18 2459292.46503 16.1501 0.0339 1m0-10 r 1
2021-03-18 2459292.46655 16.4050 0.0312 1m0-10 i 1
2021-03-18 2459292.46789 16.4136 0.0303 1m0-10 i 1
2021-03-19 2459292.76475 16.1984 0.0256 1m0-08 B 1
2021-03-19 2459292.76645 16.2167 0.0274 1m0-08 B 1
2021-03-19 2459292.76831 15.6113 0.0281 1m0-08 V 1
2021-03-19 2459292.76967 15.6323 0.0278 1m0-08 V 1
2021-03-19 2459292.77289 15.8835 0.0187 1m0-08 g 1
2021-03-19 2459292.77611 15.6082 0.0264 1m0-08 r 1
2021-03-19 2459293.38778 15.9399 0.0419 1m0-10 U 1
2021-03-20 2459293.58720 15.7790 0.0355 1m0-05 U 1
2021-03-20 2459293.58986 15.8253 0.0371 1m0-05 U 1
2021-03-20 2459293.59268 15.7437 0.0226 1m0-05 B 1
2021-03-20 2459293.59441 15.7480 0.0232 1m0-05 B 1
2021-03-20 2459293.59629 15.3977 0.0237 1m0-05 V 1
2021-03-20 2459293.59765 15.4471 0.0256 1m0-05 V 1
2021-03-20 2459293.59917 15.4709 0.0137 1m0-05 g 1
2021-03-20 2459293.60086 15.4867 0.0132 1m0-05 g 1
2021-03-20 2459293.60273 15.5281 0.0165 1m0-05 r 1
2021-03-20 2459293.60408 15.4703 0.0174 1m0-05 r 1
2021-03-20 2459293.60696 15.7432 0.0219 1m0-05 i 1
