dateobs jd mag dmag telescope filter magtype
2021-03-17 2459291.37420 16.4765 0.0336 1m0-13 g 1
2021-03-17 2459291.37682 16.5034 0.0362 1m0-13 g 1
2021-03-17 2459291.37962 16.1172 0.0372 1m0-13 r 1
2021-03-18 2459291.57340 17.0184 0.0350 1m0-10 B 1
2021-03-18 2459291.57602 17.0521 0.0342 1m0-10 B 1
2021-03-18 2459291.58238 16.6967 0.0268 1m0-10 g 1
2021-03-18 2459291.58501 16.7130 0.0263 1m0-10 g 1
2021-03-18 2459291.58949 16.4005 0.0339 1m0-10 r 1
2021-03-18 2459291.89474 17.0290 0.0191 1m0-04 B 1
2021-03-18 2459291.89642 17.0277 0.0209 1m0-04 B 1
2021-03-18 2459291.89828 16.5138 0.0187 1m0-04 V 1
2021-03-18 2459291.89962 16.4908 0.0175 1m0-04 V 1
2021-03-18 2459291.90114 16.6526 0.0155 1m0-04 g 1
2021-03-18 2459291.90283 16.6782 0.0161 1m0-04 g 1
2021-03-18 2459291.90605 16.4449 0.0159 1m0-04 r 1
2021-03-18 2459291.90757 16.7457 0.0237 1m0-04 i 1
2021-03-18 2459291.90892 16.7078 0.0244 1m0-04 i 1
2021-03-18 2459292.45369 16.5028 0.0221 1m0-10 B 1
2021-03-18 2459292.45538 16.4967 0.0233 1m0-10 B 1
2021-03-18 2459292.45725 16.1810 0.0275 1m0-10 V 1
2021-03-18 2459292.45861 16.1728 0.0317 1m0-10 V 1
2021-03-18 2459292.46182 16.2661 0.0332 1m0-10 g 1
2021-03-18 2459292.46368 16.1578 0.0348 1m0-10 r 1
2021-03-18 2459292.46503 16.1501 0.0339 1m0-10 r 1
2021-03-18 2459292.46655 16.3892 0.0342 1m0-10 i 1
2021-03-18 2459292.46789 16.4067 0.0325 1m0-10 i 1
2021-03-19 2459292.76475 16.2045 0.0192 1m0-08 B 1
2021-03-19 2459292.76645 16.2147 0.0208 1m0-08 B 1
2021-03-19 2459292.76831 15.7329 0.0210 1m0-08 V 1
2021-03-19 2459292.76967 15.7429 0.0205 1m0-08 V 1
2021-03-19 2459292.77118 15.8562 0.0188 1m0-08 g 1
2021-03-19 2459292.77289 15.8835 0.0187 1m0-08 g 1
2021-03-19 2459292.77475 15.6083 0.0244 1m0-08 r 1
2021-03-19 2459292.77611 15.6082 0.0264 1m0-08 r 1
2021-03-19 2459292.77763 15.6569 0.0396 1m0-08 i 1
2021-03-20 2459293.59268 15.7126 0.0152 1m0-05 B 1
2021-03-20 2459293.59441 15.7214 0.0166 1m0-05 B 1
