SN2021fxy 0.0094 198.256560801 -19.5125038193
filter Us
59290.85742999986 17.6328 0.0565
59290.86120999977 17.6279 0.0551
59291.06568 17.5258 0.054
59291.38933000015 17.2496 0.0611
59291.39195000008 17.1407 0.0552
59291.94828000013 16.6854 0.043
59291.95091000013 16.6661 0.0415
59292.88777999999 15.9399 0.0419
59293.08719999995 15.779 0.0355
59293.08986000018 15.8253 0.0371
59293.29155999981 15.7137 0.057
59294.09296000004 15.2293 0.053
59294.35118999984 15.0574 0.0375
59294.35380999977 15.0895 0.033
59294.831650000066 14.8239 0.0386
59294.83428000007 14.811 0.0378
59295.14975999994 14.8244 0.04
59295.15236999979 14.8392 0.0388
59295.22831000015 14.8047 0.0346
59295.22965000011 14.7717 0.0389
59295.89118999988 14.4512 0.0416
59295.89252999984 14.4185 0.041
59296.10472999979 14.3674 0.0387
59296.10607999982 14.387 0.0383
59297.1391400001 14.212 0.0383
59297.14048000006 14.245 0.0334
59299.10970999999 13.9437 0.034
59299.1110700001 13.9313 0.0353
59301.545959999785 13.7254 0.0423
59301.547319999896 13.7498 0.0406
59304.873610000126 13.6785 0.0404
59304.874950000085 13.7147 0.0445
59306.83721000003 13.7816 0.0388
59306.83856000006 13.7441 0.04
59307.73950000014 13.8659 0.0398
59307.74085000018 13.8217 0.0378
59310.34769999981 14.0098 0.0338
59310.349049999844 14.0339 0.0347
59312.26431 14.1746 0.0422
59312.265660000034 14.1249 0.0385
59313.49328000005 14.2233 0.0368
59316.80582999997 14.5965 0.05
59316.80718 14.5831 0.0483
59322.12877999991 15.4322 0.0445
59322.13011999987 15.4213 0.0494
59337.48830999993 16.8989 0.0426
59337.49000000022 16.9658 0.0528
59342.1439100001 17.1168 0.0686
filter Bs
59291.07340000011 17.1001 0.04
59291.07602000004 17.1172 0.0389
59291.3947399999 17.0504 0.0272
59291.39642000012 17.0463 0.0269
59291.95368999988 16.546 0.0283
59291.955380000174 16.5361 0.0292
59292.26475000009 16.1984 0.0256
59292.266449999996 16.2167 0.0274
59293.09267999977 15.7437 0.0226
59293.0944099999 15.748 0.0232
59294.09575999994 15.3967 0.0234
59294.09744999977 15.384 0.0227
59294.35662000021 15.1812 0.0229
59294.35831000004 15.1769 0.023
59294.837090000045 15.0744 0.0286
59294.838779999875 15.0627 0.0276
59295.231230000034 14.926 0.0252
59295.23229000019 14.9203 0.0221
59295.89404000016 14.7699 0.0282
59295.89503999986 14.773 0.0288
59296.10760000022 14.7566 0.0347
59296.10859999992 14.7092 0.0272
59297.14201000007 14.4789 0.023
59297.14301000023 14.4829 0.0243
59299.11257999996 14.2453 0.0233
59299.1135900002 14.2208 0.0251
59301.548849999905 14.1143 0.0245
59301.549860000145 14.1222 0.0244
59304.87647000002 14.0067 0.0309
59304.87747000018 14.0064 0.0307
59306.84011999983 14.0488 0.0263
59306.84113000007 14.0502 0.0265
59307.742380000185 14.0892 0.0231
59307.74338999996 14.0886 0.0245
59310.35056999978 14.154 0.0231
59310.35158000002 14.1578 0.023
59312.267179999966 14.2995 0.0237
59313.4961600001 14.3574 0.0234
59313.497159999795 14.3958 0.027
59316.808739999775 14.5828 0.0411
59322.13163000019 15.2631 0.0269
59322.13263999997 15.2684 0.0271
59326.21476999996 15.7381 0.0279
59326.215770000126 15.7359 0.0272
59332.169079999905 16.2767 0.0306
59332.17008000007 16.2582 0.0308
59337.4918800001 16.6953 0.0256
59337.49323000014 16.6891 0.0233
59342.14576000022 16.919 0.0253
59342.14710000018 16.9346 0.0255
filter Vs
59291.39827999985 16.399 0.0264
59291.39961999981 16.3753 0.0262
59291.95724999998 16.1019 0.0331
59291.95861000009 16.0937 0.0364
59292.26831000019 15.6113 0.0281
59292.269669999834 15.6323 0.0278
59293.09628999978 15.3977 0.0237
59293.097649999894 15.4471 0.0256
59294.09932000004 15.0997 0.0249
59294.10067000007 15.097 0.0248
59294.36017999984 15.0113 0.0243
59294.36152999988 15.0035 0.0243
59294.84062999999 14.797 0.0344
59294.8419900001 14.8676 0.031
59295.158710000105 14.8127 0.0268
59295.160050000064 14.8191 0.0259
59295.23347999994 14.7222 0.0277
59295.234240000136 14.704 0.0295
59295.89620999992 14.6328 0.0314
59295.896980000194 14.6347 0.0324
59296.10979000013 14.6475 0.0368
59296.11053999979 14.6627 0.0388
59297.144189999904 14.3561 0.0253
59297.1448400002 14.3688 0.0278
59299.114779999945 14.1033 0.0273
59299.11542000016 14.0979 0.032
59301.55104999989 13.9258 0.0266
59301.551700000186 13.9281 0.0262
59304.87863999978 13.8617 0.0325
59304.87929000007 13.8644 0.0328
59306.842300000135 13.8258 0.028
59306.84294999996 13.8322 0.0268
59307.7445700001 13.8389 0.0252
59307.74523 13.845 0.0257
59310.352760000154 13.8813 0.0253
59310.353399999905 13.8702 0.0248
59312.2693599998 14.0074 0.0278
59312.26998999994 14.0034 0.0273
59313.49832999986 14.042 0.0271
59313.49897000007 14.0509 0.0292
59316.81091 14.1824 0.0417
59316.81155999983 14.1871 0.0418
59322.13381000003 14.5711 0.0289
59322.13444999978 14.5835 0.0278
59326.2169499998 14.7752 0.0298
59326.21760000009 14.7334 0.0256
59332.17125000013 15.0837 0.0273
59337.49475000007 15.4389 0.0268
59337.495759999845 15.5137 0.0271
59342.148630000185 15.7203 0.0252
59342.14963999996 15.7597 0.0264
filter g_s
59290.87681999989 16.5034 0.0362
59291.082380000036 16.6967 0.0268
59291.08501000004 16.713 0.0263
59291.401140000205 16.6526 0.0155
59291.402830000035 16.6782 0.0161
59291.96181999985 16.2661 0.0332
59292.27289000014 15.8835 0.0187
59293.09916999983 15.4709 0.0137
59293.10086000012 15.4867 0.0132
59294.10220000008 15.2079 0.0118
59294.10388999991 15.207 0.0111
59294.36305999989 15.0271 0.0132
59294.36482999986 15.0331 0.0131
59294.84352000011 14.8823 0.0181
59294.84520999994 14.8446 0.0154
59295.16158000007 14.8829 0.0129
59295.16325999983 14.8831 0.0132
59295.23517000023 14.7508 0.0143
59295.23618000001 14.7482 0.0146
59295.8979199999 14.6411 0.0257
59296.11147999996 14.6042 0.0313
59296.1124900002 14.5946 0.0263
