#JD	dateobs	mag	Dmag
2459291.3010	2021-03-17.8	16.9030	0.0580
2459291.3060	2021-03-17.81	17.0450	0.0550
2459291.3100	2021-03-17.81	17.0400	0.0560
2459291.3150	2021-03-17.82	17.0240	0.0580
2459291.3230	2021-03-17.82	17.0790	0.0570
2459291.3350	2021-03-17.84	17.0550	0.0550
2459291.3360	2021-03-17.84	17.0540	0.0560
2459291.3860	2021-03-17.89	16.9990	0.0560
2459291.5580	2021-03-18.06	16.8580	0.0550
2459291.5830	2021-03-18.08	16.8310	0.0550
2459291.5870	2021-03-18.09	16.8240	0.0550
2459291.5900	2021-03-18.09	16.9400	0.0620
2459291.6070	2021-03-18.11	16.7820	0.0550
2459291.6080	2021-03-18.11	16.7800	0.0550
2459291.6230	2021-03-18.12	16.7810	0.0540
2459291.6450	2021-03-18.15	16.7590	0.0550
2459291.6530	2021-03-18.15	16.7760	0.0570
2459291.6620	2021-03-18.16	16.7750	0.0540
2459291.6630	2021-03-18.16	16.7550	0.0540
2459291.6860	2021-03-18.19	16.7200	0.0540
2459291.6950	2021-03-18.19	16.7390	0.0620
2459291.6990	2021-03-18.2	16.7100	0.0540
2459291.7110	2021-03-18.21	16.6550	0.0610
2459291.7180	2021-03-18.22	16.8120	0.0620
2459291.7270	2021-03-18.23	16.7430	0.0540
2459291.7340	2021-03-18.23	16.7640	0.0600
2459291.7450	2021-03-18.24	16.7080	0.0560
2459291.7540	2021-03-18.25	16.3130	0.0540
2459291.7620	2021-03-18.26	16.6570	0.0540
2459291.7840	2021-03-18.28	16.6030	0.0540
2459292.0330	2021-03-18.53	16.5890	0.0690
2459292.0440	2021-03-18.54	16.3490	0.0670
2459292.0660	2021-03-18.57	16.4710	0.0560
2459292.1280	2021-03-18.63	16.4630	0.0540
2459292.1720	2021-03-18.67	16.4560	0.0560
2459292.1890	2021-03-18.69	16.4510	0.0540
2459292.1980	2021-03-18.7	16.3980	0.0540
2459292.2030	2021-03-18.7	16.4160	0.0550
2459292.2130	2021-03-18.71	16.4150	0.0730
2459292.2200	2021-03-18.72	16.4250	0.0550
2459292.2260	2021-03-18.73	16.3820	0.0560
2459292.2320	2021-03-18.73	15.9400	0.0560
2459292.2400	2021-03-18.74	16.4460	0.0550
2459292.2510	2021-03-18.75	16.4140	0.0530
2459292.3080	2021-03-18.81	16.5200	0.0680
2459292.3260	2021-03-18.83	16.3580	0.0530
2459292.3400	2021-03-18.84	16.3400	0.0540
2459292.3520	2021-03-18.85	16.3690	0.0540
2459292.3560	2021-03-18.86	16.3440	0.0530
2459292.3740	2021-03-18.87	16.3520	0.0560
2459292.3800	2021-03-18.88	16.3310	0.0580
2459292.6320	2021-03-19.13	16.2380	0.0540
2459292.9010	2021-03-19.4	16.0370	0.0550
2459293.0810	2021-03-19.58	15.9830	0.0560
2459293.0820	2021-03-19.58	15.9410	0.0560
2459293.0860	2021-03-19.59	15.8880	0.0550
2459293.1360	2021-03-19.64	15.9640	0.0570
2459293.2140	2021-03-19.71	15.8540	0.0530
2459293.2360	2021-03-19.74	15.8490	0.0530
2459293.2400	2021-03-19.74	15.8850	0.0530
2459293.2860	2021-03-19.79	15.8350	0.0530
2459293.3130	2021-03-19.81	15.8110	0.0530
2459293.3420	2021-03-19.84	15.7900	0.0770
2459293.6930	2021-03-20.19	15.6150	0.0530
2459293.6930	2021-03-20.19	15.6150	0.0530
2459294.0700	2021-03-20.57	15.4330	0.0530
2459294.0800	2021-03-20.58	15.4640	0.0530
2459294.1090	2021-03-20.61	15.4660	0.0530
2459294.2140	2021-03-20.71	15.4050	0.0530
2459294.2610	2021-03-20.76	15.3930	0.0530
2459294.2900	2021-03-20.79	15.3890	0.0530
2459294.3050	2021-03-20.8	15.3840	0.0530
2459294.3430	2021-03-20.84	15.3770	0.0530
2459294.3770	2021-03-20.88	15.3810	0.0530
2459294.3860	2021-03-20.89	15.3700	0.0530
2459295.1510	2021-03-21.65	15.0950	0.0520
2459295.5460	2021-03-22.05	14.9800	0.0530
2459295.8370	2021-03-22.34	14.8570	0.0520
2459296.0210	2021-03-22.52	14.8610	0.0530
2459296.5450	2021-03-23.05	14.7720	0.0530
2459296.5870	2021-03-23.09	14.4770	0.0540
