# DEC: -19.5125555555556
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-04-19 10:17:43.700000+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256708333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3264.530,1.69801e+00,3.39556e+00
3267.060,-1.54433e-01,3.38733e+00
3269.590,8.91005e+00,3.54116e+00
3272.120,6.12392e+00,3.80689e+00
3274.650,4.94541e+00,3.56016e+00
3277.180,7.85151e+00,3.44964e+00
3279.710,-7.48934e+00,3.29010e+00
3282.240,7.06296e+00,2.84185e+00
3284.770,3.43981e+00,3.55316e+00
3287.300,-2.96198e+00,2.97869e+00
3289.830,9.12089e+00,3.44702e+00
3292.360,-6.46373e+00,3.15183e+00
3294.890,1.51476e+01,3.90721e+00
3297.421,5.26225e+00,3.05353e+00
3299.951,7.26757e+00,2.46529e+00
3302.481,-4.32255e+00,2.56168e+00
3305.011,5.55863e+00,2.31869e+00
3307.541,5.82729e+00,3.34411e+00
3310.071,2.75671e+00,2.21658e+00
3312.601,1.80519e+00,1.96745e+00
3315.131,5.65182e+00,1.84067e+00
3317.661,-4.06388e+00,1.68660e+00
3320.191,1.17071e+00,1.69012e+00
3322.721,2.68015e+00,1.52771e+00
3325.251,1.16616e+00,1.32784e+00
3327.781,-2.99125e+00,1.73491e+00
3330.311,7.28896e+00,1.41035e+00
3332.841,-2.91550e+00,1.72345e+00
3335.371,2.88096e+00,1.80359e+00
3337.901,5.09330e+00,1.93300e+00
3340.431,5.86296e+00,1.56684e+00
3342.961,6.12683e+00,1.72444e+00
3345.491,-2.29638e+00,1.56738e+00
3348.021,-2.17703e+00,1.47078e+00
3350.551,4.81002e+00,1.45026e+00
3353.081,-2.61331e-01,1.01904e+00
3355.611,6.16212e+00,1.11997e+00
3358.141,1.27410e+00,8.50331e-01
3360.671,8.16326e-01,9.19377e-01
3363.202,8.43908e-01,9.45403e-01
3365.732,7.31702e-01,7.53951e-01
3368.262,1.06118e+00,7.71263e-01
3370.792,9.14261e-01,8.04466e-01
3373.322,3.60346e-01,6.98709e-01
3375.852,3.00987e-01,7.77247e-01
