# DEC: -19.5125444444444
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-03 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256583333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: 7
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3403.531,6.13215e-01,1.97894e-01
3406.062,3.70504e-01,2.28260e-01
3408.593,8.18486e-01,2.41435e-01
3411.124,2.38462e-01,2.47435e-01
3413.655,8.71787e-01,2.17166e-01
3416.186,2.70572e-01,2.11111e-01
3418.717,1.58451e-01,2.19639e-01
3421.248,1.17497e-01,2.08306e-01
3423.779,9.32024e-01,1.86257e-01
3426.310,1.08968e+00,2.07045e-01
3428.841,-6.74137e-02,2.13014e-01
3431.372,9.05204e-01,1.87833e-01
3433.904,2.62559e-01,2.10584e-01
3436.435,5.85398e-01,2.02623e-01
3438.966,7.84194e-01,2.07734e-01
3441.497,7.26541e-01,1.80529e-01
3444.028,5.71668e-01,1.72929e-01
3446.559,1.16620e+00,1.88881e-01
3449.090,5.31829e-01,2.22867e-01
3451.621,1.34467e+00,2.35822e-01
3454.152,8.36207e-01,1.99386e-01
3456.683,4.39766e-01,1.76695e-01
3459.214,2.40222e-01,1.65224e-01
3461.745,5.85304e-01,1.55897e-01
3464.276,1.09258e+00,1.97062e-01
3466.807,7.49896e-01,1.61816e-01
3469.338,7.86492e-01,1.46578e-01
3471.869,7.66783e-01,1.48387e-01
3474.400,8.26000e-01,1.62600e-01
3476.931,5.71840e-01,1.74991e-01
3479.462,7.94021e-01,1.75907e-01
3481.993,8.54913e-02,1.78312e-01
3484.524,9.52244e-01,1.72134e-01
3487.055,7.80373e-01,1.61534e-01
3489.586,3.60883e-01,1.66872e-01
3492.117,9.63267e-01,1.84981e-01
3494.649,6.33546e-01,1.46230e-01
3497.180,7.81063e-01,1.66744e-01
3499.711,5.86132e-01,1.41687e-01
3502.242,6.58180e-01,1.14715e-01
3504.773,8.64764e-01,1.47767e-01
3507.304,7.93071e-01,1.39083e-01
3509.835,7.33245e-01,1.31211e-01
3512.366,5.66933e-01,1.31214e-01
3514.897,6.70106e-01,1.39270e-01
3517.428,4.60250e-01,1.40055e-01
3519.959,6.72057e-01,1.53957e-01
3522.490,2.92043e-01,1.23991e-01
3525.021,6.41202e-01,1.28111e-01
3527.552,6.04677e-01,1.25550e-01
3530.083,1.23432e+00,1.53873e-01
3532.614,5.35958e-01,1.37077e-01
3535.145,7.37382e-01,1.36599e-01
3537.676,5.30251e-01,1.34953e-01
3540.207,2.54000e-01,1.33525e-01
3542.738,8.23730e-01,1.45952e-01
3545.269,6.59128e-01,1.50786e-01
3547.800,6.43236e-01,1.40788e-01
3550.331,8.20572e-01,1.40503e-01
3552.862,9.21583e-01,1.50085e-01
3555.394,9.05311e-01,1.48312e-01
3557.925,8.25964e-01,1.51340e-01
3560.456,8.32537e-01,1.44327e-01
3562.987,9.19986e-01,1.41810e-01
3565.518,1.06459e+00,1.33119e-01
3568.049,6.26423e-01,1.21272e-01
3570.580,1.21103e+00,1.53090e-01
3573.111,5.13950e-01,1.21224e-01
3575.642,6.04963e-01,1.03064e-01
3578.173,9.54373e-01,1.30461e-01
3580.704,8.44448e-01,1.22404e-01
3583.235,9.95439e-01,1.29005e-01
3585.766,8.52302e-01,1.34373e-01
3588.297,5.74816e-01,1.32650e-01
3590.828,9.20168e-01,1.30951e-01
3593.359,9.92274e-01,1.12032e-01
3595.890,9.14639e-01,1.23067e-01
3598.421,6.39551e-01,1.16276e-01
3600.952,1.01373e+00,1.32454e-01
3603.483,8.50380e-01,1.13671e-01
3606.014,9.76066e-01,1.23726e-01
3608.545,9.20528e-01,1.16924e-01
3611.076,1.01742e+00,1.25363e-01
3613.607,8.47138e-01,1.33662e-01
3616.139,1.06197e+00,1.21955e-01
3618.670,5.87474e-01,1.05582e-01
3621.201,9.51325e-01,1.20810e-01
3623.732,9.45748e-01,1.30577e-01
3626.263,8.32819e-01,1.28663e-01
3628.794,1.21362e+00,1.37078e-01
3631.325,7.87752e-01,1.17707e-01
3633.856,1.10487e+00,1.32163e-01
3636.387,9.25317e-01,1.25555e-01
3638.918,9.39777e-01,1.33198e-01
3641.449,1.24392e+00,1.39208e-01
3643.980,8.20531e-01,1.19718e-01
3646.511,7.52106e-01,1.39414e-01
3649.042,6.00282e-01,1.59064e-01
3651.573,9.94975e-01,1.81345e-01
3654.104,1.33547e+00,1.66238e-01
3656.635,1.11188e+00,1.38398e-01
3659.166,1.11916e+00,1.26085e-01
3661.697,9.90827e-01,1.30856e-01
3664.228,8.70521e-01,1.35242e-01
3666.759,9.14662e-01,1.24517e-01
3669.290,1.08931e+00,1.16477e-01
3671.821,8.85473e-01,1.00018e-01
3674.352,7.94382e-01,9.77703e-02
3676.884,9.72588e-01,1.09605e-01
3679.415,7.23609e-01,1.02878e-01
3681.946,9.49294e-01,1.02020e-01
3684.477,1.19596e+00,1.11238e-01
3687.008,9.58093e-01,9.99536e-02
3689.539,1.05644e+00,1.02921e-01
3692.070,9.21263e-01,1.08303e-01
3694.601,1.07863e+00,1.16693e-01
3697.132,1.46736e+00,1.14183e-01
3699.663,1.25361e+00,1.08129e-01
3702.194,1.03538e+00,1.05604e-01
3704.725,1.06718e+00,1.13970e-01
3707.256,1.33312e+00,1.20182e-01
3709.787,1.17486e+00,1.04565e-01
3712.318,1.23144e+00,1.03490e-01
3714.849,1.24745e+00,1.04372e-01
3717.380,1.28269e+00,1.12548e-01
3719.911,1.04941e+00,1.08784e-01
3722.442,1.18874e+00,1.08711e-01
3724.973,1.28758e+00,1.02865e-01
3727.504,1.18897e+00,1.03519e-01
3730.035,1.15631e+00,1.06594e-01
3732.566,1.35519e+00,1.18105e-01
3735.097,1.26514e+00,1.14409e-01
3737.629,1.20675e+00,1.03952e-01
3740.160,1.27487e+00,1.00345e-01
3742.691,1.27497e+00,1.05051e-01
3745.222,1.06515e+00,1.05828e-01
3747.753,1.06949e+00,1.04100e-01
3750.284,6.99746e-01,9.09260e-02
3752.815,9.24047e-01,9.01047e-02
3755.346,1.10934e+00,9.30963e-02
3757.877,9.50103e-01,8.99825e-02
3760.408,7.76834e-01,9.79628e-02
3762.939,1.10631e+00,9.74225e-02
3765.470,7.67686e-01,7.95710e-02
3768.001,8.25942e-01,8.25965e-02
3770.532,9.75135e-01,8.79963e-02
3773.063,8.49533e-01,8.99784e-02
3775.594,7.68191e-01,9.16460e-02
3778.125,9.20164e-01,8.21446e-02
3780.656,1.07583e+00,8.39304e-02
3783.187,7.79334e-01,7.53560e-02
3785.718,7.75796e-01,8.30388e-02
3788.249,6.46628e-01,8.71446e-02
3790.780,8.28891e-01,8.50038e-02
3793.311,8.62416e-01,7.65885e-02
3795.842,8.50642e-01,7.98784e-02
3798.373,8.22503e-01,8.18790e-02
3800.905,6.35674e-01,7.95560e-02
3803.436,5.66726e-01,7.34854e-02
3805.967,6.30347e-01,7.53105e-02
3808.498,4.98708e-01,6.78345e-02
3811.029,5.92132e-01,6.82697e-02
3813.560,6.88965e-01,8.15119e-02
3816.091,5.48426e-01,7.62612e-02
3818.622,6.81704e-01,7.27720e-02
3821.153,5.06479e-01,6.67828e-02
3823.684,6.46516e-01,6.91987e-02
3826.215,5.33469e-01,7.27702e-02
3828.746,4.65900e-01,8.01376e-02
3831.277,7.17242e-01,7.44848e-02
3833.808,6.30939e-01,6.88277e-02
3836.339,5.65826e-01,6.86873e-02
3838.870,3.55243e-01,6.79079e-02
3841.401,4.76584e-01,7.32919e-02
3843.932,6.62780e-01,7.18716e-02
3846.463,7.57435e-01,6.96067e-02
3848.994,7.12179e-01,6.71604e-02
3851.525,5.93043e-01,6.73254e-02
3854.056,5.55383e-01,6.74436e-02
3856.587,6.81202e-01,7.01255e-02
3859.118,7.03248e-01,6.03817e-02
3861.650,7.30295e-01,6.52193e-02
3864.181,7.40396e-01,6.64950e-02
3866.712,8.03642e-01,7.12005e-02
3869.243,7.11984e-01,6.97140e-02
3871.774,7.37010e-01,6.64939e-02
3874.305,7.22544e-01,6.41797e-02
3876.836,8.63746e-01,6.66196e-02
3879.367,8.97089e-01,7.02210e-02
3881.898,8.87704e-01,7.16409e-02
3884.429,1.07821e+00,7.05654e-02
3886.960,1.13182e+00,7.00678e-02
3889.491,1.11973e+00,6.89331e-02
3892.022,1.04133e+00,7.17855e-02
3894.553,1.41802e+00,8.18032e-02
3897.084,1.23186e+00,7.65906e-02
3899.615,1.22771e+00,7.46545e-02
3902.146,1.32622e+00,7.52296e-02
3904.677,1.25865e+00,8.12660e-02
3907.208,1.29469e+00,8.94023e-02
3909.739,1.29892e+00,9.02873e-02
3912.270,1.49271e+00,8.38625e-02
3914.801,1.54637e+00,8.03228e-02
3917.332,1.43247e+00,7.78971e-02
3919.863,1.47111e+00,8.20052e-02
3922.395,1.69055e+00,8.61483e-02
3924.926,1.62096e+00,7.94422e-02
3927.457,1.53006e+00,7.31855e-02
3929.988,1.57965e+00,7.40865e-02
3932.519,1.59515e+00,7.88128e-02
3935.050,1.58576e+00,8.35276e-02
3937.581,1.64066e+00,8.38543e-02
3940.112,1.60755e+00,7.82794e-02
3942.643,1.55338e+00,7.72373e-02
3945.174,1.78186e+00,8.50097e-02
3947.705,1.65381e+00,8.50068e-02
3950.236,1.78916e+00,8.65314e-02
3952.767,1.85746e+00,8.13663e-02
3955.298,1.78651e+00,7.72328e-02
3957.829,1.91531e+00,8.05836e-02
3960.360,1.96232e+00,8.65240e-02
3962.891,1.91713e+00,8.73255e-02
3965.422,1.93116e+00,7.99770e-02
3967.953,1.88791e+00,7.37855e-02
3970.484,1.94519e+00,7.65631e-02
3973.015,2.07750e+00,8.23544e-02
3975.546,2.23581e+00,8.91836e-02
3978.077,2.16667e+00,8.56415e-02
3980.608,2.17012e+00,8.15177e-02
3983.140,2.26984e+00,8.15978e-02
3985.671,2.24485e+00,8.43657e-02
3988.202,2.33744e+00,9.14381e-02
3990.733,2.34327e+00,8.95831e-02
3993.264,2.38424e+00,8.49255e-02
3995.795,2.40422e+00,8.38478e-02
3998.326,2.25423e+00,8.22479e-02
4000.857,2.32488e+00,8.91942e-02
4003.388,2.32869e+00,8.85720e-02
4005.919,2.33666e+00,8.29258e-02
4008.450,2.45038e+00,8.19349e-02
4010.981,2.37204e+00,8.17470e-02
4013.512,2.31216e+00,8.65682e-02
4016.043,2.25929e+00,9.01756e-02
4018.574,2.14844e+00,8.79020e-02
4021.105,2.11061e+00,8.45446e-02
4023.636,2.10511e+00,8.41840e-02
4026.167,2.03524e+00,8.48759e-02
4028.698,2.10759e+00,8.96824e-02
4031.229,2.17618e+00,8.88255e-02
4033.760,2.22735e+00,8.08896e-02
4036.291,2.09124e+00,7.76918e-02
4038.822,2.03977e+00,7.96098e-02
4041.353,1.86677e+00,9.23715e-02
4043.885,1.90197e+00,1.07892e-01
4046.416,1.94998e+00,1.12975e-01
4048.947,1.80628e+00,9.99666e-02
4051.478,1.85160e+00,8.27318e-02
4054.009,1.81778e+00,8.30223e-02
4056.540,1.66021e+00,8.22295e-02
4059.071,1.69502e+00,7.91790e-02
4061.602,1.48255e+00,7.02238e-02
4064.133,1.51878e+00,7.04297e-02
4066.664,1.54522e+00,7.30844e-02
4069.195,1.57459e+00,7.71656e-02
4071.726,1.52963e+00,7.51097e-02
4074.257,1.46358e+00,7.55732e-02
4076.788,1.26181e+00,7.02669e-02
4079.319,1.42109e+00,7.48007e-02
4081.850,1.52132e+00,7.93524e-02
4084.381,1.60244e+00,7.93234e-02
4086.912,1.57322e+00,7.09502e-02
4089.443,1.57061e+00,6.76567e-02
4091.974,1.67457e+00,6.92996e-02
4094.505,1.54215e+00,7.16139e-02
4097.036,1.59065e+00,7.42043e-02
4099.567,1.59875e+00,7.08392e-02
4102.098,1.64488e+00,6.70867e-02
4104.630,1.62707e+00,6.53925e-02
4107.161,1.70191e+00,6.97738e-02
4109.692,1.62028e+00,7.33594e-02
4112.223,1.56243e+00,7.14864e-02
4114.754,1.41111e+00,6.48139e-02
4117.285,1.34541e+00,6.17012e-02
4119.816,1.39852e+00,6.51772e-02
4122.347,1.35983e+00,7.10638e-02
4124.878,1.35428e+00,6.99155e-02
4127.409,1.34354e+00,6.48717e-02
4129.940,1.35843e+00,6.35241e-02
4132.471,1.41591e+00,6.52099e-02
4135.002,1.35143e+00,6.85168e-02
4137.533,1.17466e+00,6.74424e-02
4140.064,1.24502e+00,6.54550e-02
4142.595,1.32781e+00,6.27352e-02
4145.126,1.41464e+00,6.21931e-02
4147.657,1.29826e+00,6.42429e-02
4150.188,1.23418e+00,6.77786e-02
4152.719,1.40075e+00,6.84401e-02
4155.250,1.37763e+00,6.46451e-02
4157.781,1.35455e+00,6.24040e-02
4160.312,1.25225e+00,6.39601e-02
