# DEC: -19.5123888888889
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-12 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256166666667
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 7

wavelength,flux,fluxerr
3162.184,-5.64993e-02,4.89343e-02
3163.368,-6.30874e-03,4.68564e-02
3166.920,5.42892e-02,4.31489e-02
3169.287,5.70472e-01,5.45463e-02
3170.471,3.24153e-01,4.11981e-02
3171.655,5.15889e-02,4.92604e-02
3172.839,7.00157e-02,3.64574e-02
3176.391,4.37861e-01,5.53534e-02
3177.575,5.01793e-02,4.79457e-02
3181.127,3.75785e-02,4.90237e-02
3182.311,2.59392e-01,5.63713e-02
3183.494,1.82726e-01,3.19703e-02
3185.862,2.79300e-01,4.06373e-02
3187.046,3.09593e-01,4.39706e-02
3188.230,1.49466e-01,3.24297e-02
3195.334,1.54649e-01,4.68444e-02
3200.069,2.62627e-02,3.50493e-02
3201.253,1.10415e-01,4.59612e-02
3203.621,1.13902e-01,4.38969e-02
3204.805,1.35412e-01,4.76592e-02
3211.909,2.02469e-01,3.65606e-02
3213.092,1.12536e-01,3.67064e-02
3215.460,2.44315e-01,4.54802e-02
3217.828,2.85482e-01,4.17634e-02
3222.564,3.23216e-02,3.66196e-02
3223.748,2.31829e-01,3.62139e-02
3224.932,2.15828e-01,3.01676e-02
3226.116,2.66879e-01,3.14560e-02
3227.300,1.80705e-01,3.88894e-02
3229.667,1.91668e-01,3.99900e-02
3230.851,1.76793e-01,3.48065e-02
3232.035,2.26521e-01,3.49607e-02
3233.219,2.43261e-01,3.42982e-02
3234.403,2.25770e-01,3.92547e-02
3239.139,1.52730e-01,3.09863e-02
3243.874,2.35940e-01,3.65808e-02
3248.610,1.04084e-01,3.61680e-02
3250.978,1.67670e-01,3.14655e-02
3256.898,1.34070e-01,2.78758e-02
3258.081,2.28411e-01,2.70357e-02
3261.633,7.53302e-02,2.66230e-02
3265.185,2.51470e-01,3.24179e-02
3266.369,1.43054e-01,2.70560e-02
3268.737,2.02821e-01,2.30301e-02
3271.105,2.27399e-01,3.34587e-02
3275.840,2.24770e-01,3.24675e-02
3277.024,8.01336e-02,2.54727e-02
3280.576,1.10571e-01,2.63530e-02
3287.679,1.57131e-01,2.72228e-02
3291.231,1.34322e-01,2.67037e-02
3294.783,2.23538e-01,2.54058e-02
3297.151,1.29932e-01,1.84762e-02
3298.335,9.88189e-02,2.03594e-02
3301.886,2.03475e-01,2.24180e-02
3304.254,2.50494e-01,2.09653e-02
3305.438,2.54544e-01,1.91961e-02
3310.174,1.54172e-01,2.22941e-02
3311.358,1.22627e-01,2.01534e-02
3313.726,2.08706e-01,2.13958e-02
3314.910,1.69833e-01,1.73644e-02
3317.277,1.09973e-01,2.11565e-02
3319.645,1.16774e-01,1.84676e-02
3320.829,1.56552e-01,1.90308e-02
3322.013,2.21181e-01,2.07045e-02
3323.197,2.03056e-01,2.15794e-02
3326.749,2.01335e-01,1.94335e-02
3330.301,4.57379e-02,1.44283e-02
3331.484,2.11006e-01,1.62833e-02
3332.668,1.66453e-01,1.74305e-02
3338.588,1.62844e-01,1.58164e-02
3342.140,1.60514e-01,1.67297e-02
3343.324,1.43816e-01,1.46062e-02
3344.508,2.32858e-01,1.87419e-02
3349.243,7.71686e-02,1.61633e-02
3353.979,1.33460e-01,1.60098e-02
3356.347,1.83844e-01,1.71085e-02
3358.715,1.51852e-01,1.29314e-02
3359.899,1.34548e-01,1.28325e-02
3365.818,1.91812e-01,1.75665e-02
3368.186,1.72505e-01,1.64152e-02
3370.554,2.30858e-01,1.71417e-02
3371.738,1.50838e-01,1.40853e-02
3374.106,1.82034e-01,1.61547e-02
3375.289,1.28332e-01,1.45127e-02
3378.841,1.77944e-01,1.56226e-02
3380.025,1.44880e-01,1.58386e-02
3381.209,1.91173e-01,1.60403e-02
3382.393,1.99285e-01,1.74524e-02
3387.129,1.37079e-01,1.16759e-02
3388.313,1.83231e-01,1.42571e-02
3389.497,2.12686e-01,1.60342e-02
3393.048,1.56663e-01,1.30233e-02
3404.887,1.62962e-01,1.27142e-02
3406.071,1.74696e-01,1.51474e-02
3409.623,1.70599e-01,1.39196e-02
3419.095,1.54049e-01,1.26472e-02
3420.278,2.01474e-01,1.28679e-02
3425.014,1.79100e-01,1.33073e-02
3427.382,2.02530e-01,1.25380e-02
3429.750,2.13379e-01,1.24930e-02
3430.934,2.07531e-01,1.29326e-02
3432.118,2.21786e-01,1.25036e-02
3433.302,2.42700e-01,1.32715e-02
3434.485,2.32968e-01,1.35850e-02
3435.669,2.43228e-01,1.48102e-02
3441.589,2.10653e-01,1.51922e-02
3443.957,2.15779e-01,1.36129e-02
3449.876,3.11254e-01,1.34338e-02
3451.060,2.84137e-01,1.32247e-02
3452.244,2.64802e-01,1.35283e-02
3453.428,2.75677e-01,1.43191e-02
3458.164,2.85908e-01,1.55147e-02
3460.532,2.73236e-01,1.46961e-02
3471.187,2.84327e-01,1.23409e-02
3472.371,2.48492e-01,1.34366e-02
3473.555,2.84374e-01,1.35854e-02
3477.107,2.75859e-01,1.41123e-02
3478.291,2.73483e-01,1.37519e-02
3481.842,2.73184e-01,1.30323e-02
3484.210,3.02787e-01,1.34668e-02
3485.394,3.09679e-01,1.28618e-02
3487.762,2.56281e-01,1.38049e-02
3491.314,3.03418e-01,1.34141e-02
3493.681,2.87583e-01,1.34463e-02
3498.417,2.69842e-01,1.26554e-02
3500.785,2.59817e-01,1.36777e-02
3501.969,2.70923e-01,1.19070e-02
3504.337,3.13391e-01,1.24586e-02
3505.521,3.01212e-01,1.24136e-02
3509.072,2.88854e-01,1.27622e-02
3511.440,3.08895e-01,1.35558e-02
3519.728,2.99741e-01,1.26515e-02
3524.463,2.83227e-01,1.16105e-02
3526.831,2.97357e-01,1.18618e-02
3531.567,2.84437e-01,1.29156e-02
3535.119,2.76579e-01,1.28466e-02
3537.486,2.85905e-01,1.24865e-02
3539.854,2.79028e-01,1.24855e-02
3542.222,2.96289e-01,1.20668e-02
3543.406,3.13484e-01,1.23263e-02
3549.326,2.97263e-01,1.33420e-02
3550.510,3.43902e-01,1.42627e-02
3554.061,3.19473e-01,1.37688e-02
3561.165,4.05255e-01,1.42692e-02
3562.349,3.98361e-01,1.50628e-02
3563.533,4.00293e-01,1.34172e-02
3568.268,3.84898e-01,1.40585e-02
3573.004,4.16138e-01,1.47386e-02
3578.924,4.21408e-01,1.33492e-02
3582.475,4.13025e-01,1.38478e-02
3583.659,3.97442e-01,1.31156e-02
3584.843,4.15054e-01,1.38155e-02
3587.211,4.09836e-01,1.42780e-02
3594.315,4.11417e-01,1.34035e-02
3596.682,4.18379e-01,1.31276e-02
3602.602,4.25736e-01,1.33649e-02
3609.706,4.89406e-01,1.54240e-02
3612.073,4.45736e-01,1.40787e-02
3613.257,4.67389e-01,1.37714e-02
3616.809,4.47016e-01,1.32135e-02
3617.993,4.35675e-01,1.31049e-02
3619.177,4.44501e-01,1.35309e-02
3620.361,4.39295e-01,1.32011e-02
3621.545,4.45707e-01,1.34238e-02
3623.913,4.66016e-01,1.43006e-02
3625.097,4.46061e-01,1.42630e-02
3626.280,4.59376e-01,1.51174e-02
3627.464,4.77501e-01,1.58052e-02
3629.832,4.57104e-01,1.43544e-02
3632.200,4.81072e-01,1.41054e-02
3633.384,4.66653e-01,1.32180e-02
3634.568,4.70631e-01,1.33370e-02
3638.120,4.86845e-01,1.33849e-02
3639.304,4.79531e-01,1.34452e-02
